isExoplanet,hostName,orbitalPeriod,orbitalPeriodMin,orbitalPeriodMax,transitDuration,transitDurationMin,transitDurationMax,transitDepth,transitDepthMin,transitDepthMax,impactParameter,impactParameterMin,impactParameterMax,planetRadiusEarth,planetRadiusEarthMin,planetRadiusEarthMax,planetRadiusJupiter,planetRadiusJupiterMin,planetRadiusJupiterMax,planetMassEarth,planetMassEarthMin,planetMassEarthMax,planetMassJupiter,planetMassJupiterMin,planetMassJupiterMax,planetDensity,planetDensityMin,planetDensityMax,equilibriumTemperature,equilibriumTemperatureMin,equilibriumTemperatureMax,insolationFlux,insolationFluxMin,insolationFluxMax,stellarEffectiveTemperature,stellarEffectiveTemperatureMin,stellarEffectiveTemperatureMax,stellarSurfaceGravity,stellarSurfaceGravityMin,stellarSurfaceGravityMax,stellarRadius,stellarRadiusMin,stellarRadiusMax,stellarMass,stellarMassMin,stellarMassMax,stellarMetallicity,stellarMetallicityMin,stellarMetallicityMax,stellarAge,stellarAgeMin,stellarAgeMax,rightAscension,declination,magnitude
0,,1.16015259,8.68E-07,-8.68E-07,1.3433,0.0195,-0.0195,1.70E+02,4.10E+00,-4.10E+00,0.748,0.025,-0.515,1.4,2.00E-01,-1.20E-01,,,,,,,,,,,,,1751,,,2229.29,910.2,-505.19,5842,105,-117,4.433,0.072,-0.117,0.985,0.143,-0.083,,,,,,,,,,298.66101,41.13789,12.45
0,,2.2227289,2.44E-05,-2.44E-05,2.617,0.291,-0.291,2.79E+02,3.25E+01,-3.25E+01,0.254,0.205,-0.254,34.14,7.60E-01,-1.44E+01,,,,,,,,,,,,,4454,,,93172.12,12806.48,-67878.27,4996,107,-250,2.354,0.027,-0.03,20.848,0.464,-8.811,,,,,,,,,,291.85648,37.065651,12.552
0,,66.47762,1.13E-03,-1.13E-03,4.487,0.304,-0.304,5.54E+02,6.34E+01,-6.34E+01,0.384,0.067,-0.384,1.83,3.90E-01,-1.60E-01,,,,,,,,,,,,,388,,,5.34,3.58,-1.53,5515,182,-199,4.592,0.036,-0.135,0.775,0.164,-0.07,,,,,,,,,,295.36145,45.914841,15.972
0,,1.621668852,1.36E-06,-1.36E-06,1.7517,0.0379,-0.0379,7.66E+03,1.39E+02,-1.39E+02,1.194,22.82,-0.476,32.76,1.08E+01,-3.59E+00,,,,,,,,,,,,,1598,,,1546.28,1496.11,-466.3,6106,169,-190,4.487,0.054,-0.229,0.966,0.317,-0.106,,,,,,,,,,293.42636,46.68792,13.9
0,,26.89316101,1.62E-05,-1.62E-05,2.3266,0.0379,-0.0379,2.19E+03,2.43E+01,-2.43E+01,0.98,0.122,-0.033,6.78,2.14E+00,-7.20E-01,,,,,,,,,,,,,614,,,33.54,31.06,-9.8,6096,164,-183,4.511,0.054,-0.216,0.908,0.287,-0.096,,,,,,,,,,297.49216,46.694519,13.754
0,,5.07442951,3.66E-05,-3.66E-05,4.064,0.201,-0.201,2.50E+02,1.12E+01,-1.12E+01,0.53,0.41,-0.319,1.38,3.20E-01,-1.00E-01,,,,,,,,,,,,,929,,,175.75,124.14,-41.92,5448,164,-164,4.562,0.03,-0.17,0.857,0.198,-0.062,,,,,,,,,,295.19717,42.416939,14.789
0,,176.2432946,3.06E-04,-3.06E-04,5.0423,0.0716,-0.0716,4.98E+03,6.62E+01,-6.62E+01,1.271,68.03,-0.045,48.15,8.22E+00,-1.01E+01,,,,,,,,,,,,,353,,,3.68,1.82,-1.5,5559,122,-78,4.209,0.198,-0.115,1.231,0.21,-0.257,,,,,,,,,,295.0256,44.330189,14.468
0,,0.702739679,4.62E-06,-4.62E-06,1.379,0.175,-0.175,6.51E+01,8.80E+00,-8.80E+00,0.742,0.207,-0.514,0.73,1.10E-01,-7.00E-02,,,,,,,,,,,,,1765,,,2292.96,1081.68,-663.44,5269,158,-158,4.508,0.072,-0.099,0.836,0.12,-0.087,,,,,,,,,,286.89841,37.93745,14.99
0,,4.305219002,1.77E-06,-1.77E-06,2.6845,0.0583,-0.0583,9.74E+03,6.16E+01,-6.16E+01,0.626,0.064,-0.213,10.34,0.00E+00,0.00E+00,,,,,,,,,,,,,1119,,,370.84,0,0,5780,,,4.438,,,1,,,,,,,,,,,,282.15491,42.234547,13.826
0,,13.77971135,1.41E-06,-1.41E-06,7.63871,0.00697,-0.00697,2.55E+04,1.53E+01,-1.53E+01,0.201,0.015,-0.015,47.58,7.90E+00,-1.84E+01,,,,,,,,,,,,,1376,,,848.24,451.68,-563.58,6444,196,-177,3.643,0.337,-0.112,2.947,0.489,-1.142,,,,,,,,,,298.59164,42.206429,13.21
0,,5.07437786,1.10E-05,-1.10E-05,5.942,0.0836,-0.0836,6.06E+02,8.20E+00,-8.20E+00,1.21,2.515,-0.11,23.71,6.24E+00,-2.69E+00,,,,,,,,,,,,,1008,,,244.04,188.99,-71.91,5661,152,-152,4.48,0.062,-0.188,0.919,0.242,-0.104,,,,,,,,,,295.19562,42.417068,13.842
0,,1.433339604,2.16E-06,-2.16E-06,1.3665,0.036,-0.036,3.05E+02,9.50E+00,-9.50E+00,0.902,0.022,-0.61,2.08,5.90E-01,-2.50E-01,,,,,,,,,,,,,1677,,,1873.33,1551.18,-613.33,6077,168,-210,4.471,0.05,-0.188,0.999,0.28,-0.12,,,,,,,,,,293.68912,46.41288,14.811
0,,37.86511904,1.56E-05,-1.56E-05,2.9799,0.0187,-0.0187,6.94E+03,3.77E+01,-3.77E+01,1.28,3.224,-0.127,40.36,1.30E+01,-4.03E+00,,,,,,,,,,,,,535,,,19.31,18.11,-5.6,5858,156,-191,4.495,0.052,-0.208,0.963,0.309,-0.096,,,,,,,,,,297.41867,46.64426,14.608
